"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"account_activa_account_63400","Interest Expense","63400","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_63401","Interest loan","63401","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_64300","Meals and Entertainment","64300","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_64900","Office Supplies","64900","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_66500","Postage and Delivery","66500","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_66700","Professional Fees","66700","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_66800","Pension expenses","66800","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_67100","Rent Expense","67100","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_67101","Lease office equipment","67101","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_67200","Repairs and Maintenance","67200","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_67202","Cleaning Expenses","67202","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_68100","Telephone Expense","68100","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_68400","Travel Expense","68400","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_68401","Representation expenses","68401","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_68402","Relation expenses","68402","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_68"account_activa_account_600","Utilities","68600","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_69800","Uncategorized Expenses","69800","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_69900","Miscellaneous expenses","69900","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_70000","Diverse baten en lasten","70000","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_71000","Claim expenses","71000","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_77000","Exchange Gain or Loss","account_activa_account_77000","account.data_account_type_expenses","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_99999","Year End","99999","account.data_unaffected_earnings","l10n_carcao.cw_chart_template_amd","TRUE"
"account_activa_account_10001","Cross Entries","10001","account.data_account_off_sheet","l10n_carcao.cw_chart_template_amd","FALSE"
"account_activa_account_29999","Vraagposten","29999","account.data_account_off_sheet","l10n_carcao.cw_chart_template_amd","FALSE"
